frame_number,timestamp,track_id,class,x1,y1,x2,y2,confidence
16,2025-05-31 14:59:33.318201,8,motorcycle,1506.4635,506.94208,1654.3069,666.43115,0.66753465
16,2025-05-31 14:59:33.318951,14,motorcycle,19.193928,510.53427,643.1064,972.74475,0.76176965
16,2025-05-31 14:59:33.319674,18,person,241.87845,364.62967,536.19653,817.9053,0.6661034
16,2025-05-31 14:59:33.320412,5,person,513.4328,373.2612,681.86127,658.8012,0.64929
17,2025-05-31 14:59:33.978352,1,person,1538.9155,433.3201,1652.8615,635.16077,0.75776523
17,2025-05-31 14:59:33.979364,3,motorcycle,1065.6068,543.80084,1321.37,760.9408,0.75752825
17,2025-05-31 14:59:33.980187,4,person,1142.5382,402.1943,1306.2311,699.95465,0.593236
17,2025-05-31 14:59:33.981081,8,motorcycle,1514.1516,512.2763,1657.3096,666.2299,0.659331
17,2025-05-31 14:59:33.982043,14,motorcycle,57.66099,520.79004,683.5545,960.89154,0.85488653
17,2025-05-31 14:59:33.982952,18,person,304.17438,371.50162,579.8539,711.3821,0.60829407
17,2025-05-31 14:59:33.983770,21,person,221.50653,356.08957,342.11423,639.13196,0.71862143
17,2025-05-31 14:59:33.984423,16,person,1815.4742,450.9752,1875.6426,591.44385,0.5275853
18,2025-05-31 14:59:34.434065,1,person,1545.5822,434.37262,1659.3948,635.63916,0.73864925
18,2025-05-31 14:59:34.434813,3,motorcycle,1081.8228,541.90845,1333.2122,759.79736,0.81566954
18,2025-05-31 14:59:34.435448,4,person,1159.0546,402.2707,1318.573,697.68756,0.7102482
18,2025-05-31 14:59:34.436111,8,motorcycle,1523.1715,510.16818,1665.0022,664.5126,0.61302334
18,2025-05-31 14:59:34.436848,14,motorcycle,137.56404,522.31885,724.148,947.9515,0.7761315
18,2025-05-31 14:59:34.437489,21,person,249.72543,358.09055,366.79337,638.7794,0.74450874
18,2025-05-31 14:59:34.438029,16,person,1813.4689,450.73682,1887.5446,592.4421,0.524143
18,2025-05-31 14:59:34.438816,12,motorcycle,1669.5144,507.44482,1813.3088,617.786,0.5093833
18,2025-05-31 14:59:34.439612,10,truck,1303.1844,297.1659,1694.3918,572.0783,0.67505705
18,2025-05-31 14:59:34.440332,5,person,568.68304,372.2422,736.30597,656.28906,0.57167786
19,2025-05-31 14:59:34.896410,1,person,1552.1713,433.08362,1668.2742,621.5269,0.70957726
19,2025-05-31 14:59:34.897262,3,motorcycle,1097.6398,547.9088,1345.2029,756.46295,0.8447181
19,2025-05-31 14:59:34.897995,4,person,1170.7194,400.7937,1330.9418,692.9683,0.6474389
19,2025-05-31 14:59:34.898770,8,motorcycle,1531.3007,519.65125,1665.7749,660.07227,0.638799
19,2025-05-31 14:59:34.899658,14,motorcycle,133.21078,488.7033,763.4633,936.8346,0.6047498
19,2025-05-31 14:59:34.900385,21,person,284.04153,357.5036,412.29645,635.63916,0.77682513
19,2025-05-31 14:59:34.901116,10,truck,1307.6377,297.04797,1708.8776,572.97235,0.6000423
19,2025-05-31 14:59:34.901980,5,person,594.45575,372.91534,763.46716,655.54095,0.58358085
19,2025-05-31 14:59:34.902722,9,truck,761.6071,368.26694,1212.1667,640.5469,0.57626724
19,2025-05-31 14:59:34.903579,18,person,408.96625,372.29947,666.40607,665.4458,0.53063756
20,2025-05-31 14:59:35.375717,1,person,1558.7747,433.87997,1678.2026,619.3449,0.74484605
20,2025-05-31 14:59:35.376736,3,motorcycle,1113.2366,549.9769,1355.4401,753.324,0.80713403
20,2025-05-31 14:59:35.377471,4,person,1186.7292,401.48956,1341.2484,698.46075,0.6982453
20,2025-05-31 14:59:35.378200,8,motorcycle,1537.9872,523.3052,1666.6295,659.2337,0.7820634
20,2025-05-31 14:59:35.378938,14,motorcycle,218.85893,514.2919,805.1571,930.9992,0.68443257
20,2025-05-31 14:59:35.379608,21,person,314.97946,359.67886,456.3695,633.7771,0.8007445
20,2025-05-31 14:59:35.380285,5,person,613.64,359.8705,781.2753,737.7049,0.5744098
20,2025-05-31 14:59:35.380880,9,truck,788.86847,369.11218,1214.1027,638.5468,0.50897235
21,2025-05-31 14:59:35.872548,1,person,1564.9647,433.18887,1683.5408,616.3594,0.7428245
21,2025-05-31 14:59:35.873361,3,motorcycle,1131.6891,548.4684,1367.716,752.1623,0.81690127
